RoarPyWaypoint(location=array([-283.79998779,  391.69998169,    0.59999996]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.91985925]), lane_width=12.0)
RoarPyWaypoint(location=array([-284.64941406,  393.75805664,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-289.49313354,  407.95446777,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-290.13897705,  409.84732056,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-290.78479004,  411.74017334,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-291.43063354,  413.63305664,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-292.07644653,  415.52590942,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-292.72229004,  417.41876221,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-293.36810303,  419.31161499,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-294.01394653,  421.20446777,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-294.65975952,  423.09732056,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-295.30560303,  424.99017334,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-295.95141602,  426.88305664,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-296.59725952,  428.77590942,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([-297.24307251,  430.66876221,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.89960338]), lane_width=11.999988555908203)
